,speed1,speed2,speed3,speed4,speed5,speed6,ScenarioID,road,reward,scenario,strategy
0_scenario_0|road1|dto|rain_day|greedy,0.25,0.049,1.932,3.753,5.989,7.349,0_scenario_0,road1,dto,rain_day,greedy
0_scenario_1|road1|dto|rain_day|greedy,8.287,8.41,8.767,8.871,8.998,9.143,0_scenario_1,road1,dto,rain_day,greedy
0_scenario_10|road1|dto|rain_day|greedy,4.096,3.067,4.165,3.018,1.954,1.452,0_scenario_10,road1,dto,rain_day,greedy
0_scenario_11|road1|dto|rain_day|greedy,3.469,4.427,5.288,6.688,6.846,6.573,0_scenario_11,road1,dto,rain_day,greedy
0_scenario_12|road1|dto|rain_day|greedy,5.888,4.864,4.589,3.943,4.199,3.441,0_scenario_12,road1,dto,rain_day,greedy
0_scenario_13|road1|dto|rain_day|greedy,2.127,1.406,2.575,1.676,2.062,1.452,0_scenario_13,road1,dto,rain_day,greedy
0_scenario_14|road1|dto|rain_day|greedy,0.002,1.524,2.584,2.894,2.723,2.138,0_scenario_14,road1,dto,rain_day,greedy
0_scenario_15|road1|dto|rain_day|greedy,1.895,1.356,2.175,1.631,1.31,1.064,0_scenario_15,road1,dto,rain_day,greedy
0_scenario_16|road1|dto|rain_day|greedy,1.199,0.99,0.674,1.384,2.345,1.485,0_scenario_16,road1,dto,rain_day,greedy
0_scenario_2|road1|dto|rain_day|greedy,9.273,9.529,8.57,7.314,5.768,4.669,0_scenario_2,road1,dto,rain_day,greedy
0_scenario_3|road1|dto|rain_day|greedy,3.575,2.697,1.978,1.59,1.257,1.01,0_scenario_3,road1,dto,rain_day,greedy
0_scenario_4|road1|dto|rain_day|greedy,0.777,0.009,1.812,4.015,5.514,5.877,0_scenario_4,road1,dto,rain_day,greedy
0_scenario_5|road1|dto|rain_day|greedy,6.047,6.298,6.151,6.125,6.842,4.395,0_scenario_5,road1,dto,rain_day,greedy
0_scenario_6|road1|dto|rain_day|greedy,6.28,6.388,7.605,7.803,8.363,8.769,0_scenario_6,road1,dto,rain_day,greedy
0_scenario_7|road1|dto|rain_day|greedy,8.873,8.977,9.133,9.26,9.483,9.725,0_scenario_7,road1,dto,rain_day,greedy
0_scenario_8|road1|dto|rain_day|greedy,9.958,10.045,10.133,10.221,10.31,10.394,0_scenario_8,road1,dto,rain_day,greedy
0_scenario_9|road1|dto|rain_day|greedy,10.482,10.568,9.706,8.536,7.032,5.363,0_scenario_9,road1,dto,rain_day,greedy
10_scenario_0|road1|dto|rain_day|greedy,0.25,1.455,0.927,1.927,4.135,5.629,10_scenario_0,road1,dto,rain_day,greedy
10_scenario_1|road1|dto|rain_day|greedy,6.02,7.607,8.257,8.633,8.738,8.355,10_scenario_1,road1,dto,rain_day,greedy
10_scenario_10|road1|dto|rain_day|greedy,6.655,6.408,6.124,5.878,5.633,5.423,10_scenario_10,road1,dto,rain_day,greedy
10_scenario_11|road1|dto|rain_day|greedy,5.538,4.584,3.976,3.75,2.983,3.197,10_scenario_11,road1,dto,rain_day,greedy
10_scenario_12|road1|dto|rain_day|greedy,3.289,2.446,2.236,2.494,2.224,2.011,10_scenario_12,road1,dto,rain_day,greedy
10_scenario_13|road1|dto|rain_day|greedy,1.869,1.581,1.351,1.49,1.649,1.427,10_scenario_13,road1,dto,rain_day,greedy
10_scenario_14|road1|dto|rain_day|greedy,1.284,1.013,0.78,0.946,1.094,0.877,10_scenario_14,road1,dto,rain_day,greedy
10_scenario_2|road1|dto|rain_day|greedy,7.777,6.696,7.047,7.492,7.902,8.017,10_scenario_2,road1,dto,rain_day,greedy
10_scenario_3|road1|dto|rain_day|greedy,8.244,7.443,7.473,7.22,7.078,6.8,10_scenario_3,road1,dto,rain_day,greedy
10_scenario_4|road1|dto|rain_day|greedy,6.526,7.038,6.54,4.191,5.451,6.865,10_scenario_4,road1,dto,rain_day,greedy
10_scenario_5|road1|dto|rain_day|greedy,7.051,7.182,7.86,8.047,8.846,8.956,10_scenario_5,road1,dto,rain_day,greedy
10_scenario_6|road1|dto|rain_day|greedy,9.07,9.169,9.378,9.629,9.888,9.976,10_scenario_6,road1,dto,rain_day,greedy
10_scenario_7|road1|dto|rain_day|greedy,10.064,10.151,10.238,10.324,10.41,10.493,10_scenario_7,road1,dto,rain_day,greedy
10_scenario_8|road1|dto|rain_day|greedy,10.578,9.619,8.57,7.293,6.535,4.868,10_scenario_8,road1,dto,rain_day,greedy
10_scenario_9|road1|dto|rain_day|greedy,3.382,2.473,1.749,3.375,4.446,6.282,10_scenario_9,road1,dto,rain_day,greedy
11_scenario_0|road1|dto|rain_day|greedy,0.253,1.509,3.863,5.334,6.345,8.09,11_scenario_0,road1,dto,rain_day,greedy
11_scenario_1|road1|dto|rain_day|greedy,8.517,9.068,9.175,9.391,9.654,9.946,11_scenario_1,road1,dto,rain_day,greedy
11_scenario_10|road1|dto|rain_day|greedy,3.166,0.437,2.386,4.251,6.231,6.366,11_scenario_10,road1,dto,rain_day,greedy
11_scenario_11|road1|dto|rain_day|greedy,5.203,4.179,4.257,3.246,3.448,3.439,11_scenario_11,road1,dto,rain_day,greedy
11_scenario_12|road1|dto|rain_day|greedy,3.636,2.659,1.594,2.799,1.915,1.39,11_scenario_12,road1,dto,rain_day,greedy
11_scenario_13|road1|dto|rain_day|greedy,0.966,2.392,2.276,2.311,1.86,1.619,11_scenario_13,road1,dto,rain_day,greedy
11_scenario_14|road1|dto|rain_day|greedy,1.584,1.475,1.239,1.116,1.258,1.396,11_scenario_14,road1,dto,rain_day,greedy
11_scenario_15|road1|dto|rain_day|greedy,1.377,1.111,0.823,0.001,0.991,0.832,11_scenario_15,road1,dto,rain_day,greedy
11_scenario_2|road1|dto|rain_day|greedy,10.038,10.126,10.216,10.302,10.392,8.751,11_scenario_2,road1,dto,rain_day,greedy
11_scenario_3|road1|dto|rain_day|greedy,7.923,7.331,6.4,5.706,5.91,5.828,11_scenario_3,road1,dto,rain_day,greedy
11_scenario_4|road1|dto|rain_day|greedy,5.681,6.739,8.088,9.208,9.46,9.707,11_scenario_4,road1,dto,rain_day,greedy
11_scenario_5|road1|dto|rain_day|greedy,10.026,10.112,10.201,10.289,7.754,6.199,11_scenario_5,road1,dto,rain_day,greedy
11_scenario_6|road1|dto|rain_day|greedy,5.265,5.32,5.224,5.323,5.551,5.648,11_scenario_6,road1,dto,rain_day,greedy
11_scenario_7|road1|dto|rain_day|greedy,6.734,7.143,4.687,6.239,7.58,6.898,11_scenario_7,road1,dto,rain_day,greedy
11_scenario_8|road1|dto|rain_day|greedy,6.468,5.512,4.718,4.794,6.062,6.438,11_scenario_8,road1,dto,rain_day,greedy
11_scenario_9|road1|dto|rain_day|greedy,6.745,7.047,7.523,7.649,6.271,5.29,11_scenario_9,road1,dto,rain_day,greedy
12_scenario_0|road1|dto|rain_day|greedy,0.255,1.481,3.826,5.644,6.897,7.752,12_scenario_0,road1,dto,rain_day,greedy
12_scenario_1|road1|dto|rain_day|greedy,8.927,9.034,9.139,9.276,9.534,7.863,12_scenario_1,road1,dto,rain_day,greedy
12_scenario_10|road1|dto|rain_day|greedy,7.775,6.825,6.467,6.193,6.331,5.695,12_scenario_10,road1,dto,rain_day,greedy
12_scenario_11|road1|dto|rain_day|greedy,5.201,4.586,4.817,3.851,3.357,3.45,12_scenario_11,road1,dto,rain_day,greedy
12_scenario_12|road1|dto|rain_day|greedy,3.622,2.947,2.546,2.319,2.559,2.33,12_scenario_12,road1,dto,rain_day,greedy
12_scenario_13|road1|dto|rain_day|greedy,2.109,1.864,1.616,1.761,2.276,1.668,12_scenario_13,road1,dto,rain_day,greedy
12_scenario_14|road1|dto|rain_day|greedy,1.43,1.185,1.01,1.149,0.957,1.241,12_scenario_14,road1,dto,rain_day,greedy
12_scenario_15|road1|dto|rain_day|greedy,1.043,0.807,0.001,1.7,1.327,0.966,12_scenario_15,road1,dto,rain_day,greedy
12_scenario_2|road1|dto|rain_day|greedy,7.12,5.752,5.852,6.858,7.183,7.487,12_scenario_2,road1,dto,rain_day,greedy
12_scenario_3|road1|dto|rain_day|greedy,7.622,7.052,6.75,6.459,6.418,6.141,12_scenario_3,road1,dto,rain_day,greedy
12_scenario_4|road1|dto|rain_day|greedy,5.98,7.452,4.988,4.733,5.906,6.172,12_scenario_4,road1,dto,rain_day,greedy
12_scenario_5|road1|dto|rain_day|greedy,6.524,6.654,4.695,3.826,3.974,5.661,12_scenario_5,road1,dto,rain_day,greedy
12_scenario_6|road1|dto|rain_day|greedy,7.066,8.017,8.172,7.793,6.982,6.614,12_scenario_6,road1,dto,rain_day,greedy
12_scenario_7|road1|dto|rain_day|greedy,6.117,5.174,7.423,7.596,7.795,8.168,12_scenario_7,road1,dto,rain_day,greedy
12_scenario_8|road1|dto|rain_day|greedy,8.467,8.353,8.461,8.234,7.244,7.295,12_scenario_8,road1,dto,rain_day,greedy
12_scenario_9|road1|dto|rain_day|greedy,7.26,7.38,8.301,8.428,9.424,7.308,12_scenario_9,road1,dto,rain_day,greedy
13_scenario_0|road1|dto|rain_day|greedy,0.254,1.442,3.687,5.628,6.842,7.842,13_scenario_0,road1,dto,rain_day,greedy
13_scenario_1|road1|dto|rain_day|greedy,8.123,8.376,8.789,8.976,9.137,9.257,13_scenario_1,road1,dto,rain_day,greedy
13_scenario_10|road1|dto|rain_day|greedy,5.648,4.588,3.363,0.591,0.001,0.0,13_scenario_10,road1,dto,rain_day,greedy
13_scenario_11|road1|dto|rain_day|greedy,1.609,2.147,2.495,2.019,1.82,1.997,13_scenario_11,road1,dto,rain_day,greedy
13_scenario_12|road1|dto|rain_day|greedy,1.769,1.458,1.222,2.207,1.43,1.165,13_scenario_12,road1,dto,rain_day,greedy
13_scenario_13|road1|dto|rain_day|greedy,0.92,0.001,1.514,1.278,0.002,0.801,13_scenario_13,road1,dto,rain_day,greedy
13_scenario_2|road1|dto|rain_day|greedy,9.515,9.78,9.962,8.198,8.233,7.848,13_scenario_2,road1,dto,rain_day,greedy
13_scenario_3|road1|dto|rain_day|greedy,6.875,6.539,6.24,5.964,5.863,6.114,13_scenario_3,road1,dto,rain_day,greedy
13_scenario_4|road1|dto|rain_day|greedy,5.978,4.882,6.491,7.593,8.288,9.316,13_scenario_4,road1,dto,rain_day,greedy
13_scenario_5|road1|dto|rain_day|greedy,9.559,9.791,10.005,10.093,10.179,10.266,13_scenario_5,road1,dto,rain_day,greedy
13_scenario_6|road1|dto|rain_day|greedy,10.351,10.436,10.518,10.601,10.685,10.767,13_scenario_6,road1,dto,rain_day,greedy
13_scenario_7|road1|dto|rain_day|greedy,10.847,9.796,8.697,8.863,8.969,9.108,13_scenario_7,road1,dto,rain_day,greedy
13_scenario_8|road1|dto|rain_day|greedy,9.164,7.389,8.193,9.24,6.954,7.562,13_scenario_8,road1,dto,rain_day,greedy
13_scenario_9|road1|dto|rain_day|greedy,6.73,5.763,5.48,5.519,5.338,4.882,13_scenario_9,road1,dto,rain_day,greedy
14_scenario_0|road1|dto|rain_day|greedy,0.25,1.484,3.692,5.01,6.018,7.326,14_scenario_0,road1,dto,rain_day,greedy
14_scenario_1|road1|dto|rain_day|greedy,8.274,8.419,7.692,7.034,6.737,6.573,14_scenario_1,road1,dto,rain_day,greedy
14_scenario_10|road1|dto|rain_day|greedy,6.037,5.201,5.964,5.077,4.105,4.469,14_scenario_10,road1,dto,rain_day,greedy
14_scenario_11|road1|dto|rain_day|greedy,4.215,3.631,3.17,3.243,3.116,2.893,14_scenario_11,road1,dto,rain_day,greedy
14_scenario_12|road1|dto|rain_day|greedy,2.571,2.102,3.068,2.179,1.701,1.895,14_scenario_12,road1,dto,rain_day,greedy
14_scenario_13|road1|dto|rain_day|greedy,2.091,1.591,1.339,1.133,1.273,2.277,14_scenario_13,road1,dto,rain_day,greedy
14_scenario_14|road1|dto|rain_day|greedy,1.418,1.064,0.803,0.006,1.489,1.195,14_scenario_14,road1,dto,rain_day,greedy
14_scenario_2|road1|dto|rain_day|greedy,6.529,5.674,5.791,6.828,6.996,7.141,14_scenario_2,road1,dto,rain_day,greedy
14_scenario_3|road1|dto|rain_day|greedy,7.269,6.462,6.591,6.718,6.855,6.753,14_scenario_3,road1,dto,rain_day,greedy
14_scenario_4|road1|dto|rain_day|greedy,6.463,6.59,5.899,5.912,6.06,4.116,14_scenario_4,road1,dto,rain_day,greedy
14_scenario_5|road1|dto|rain_day|greedy,5.745,4.721,4.83,6.3,6.629,7.445,14_scenario_5,road1,dto,rain_day,greedy
14_scenario_6|road1|dto|rain_day|greedy,8.101,8.333,8.72,8.816,8.917,9.02,14_scenario_6,road1,dto,rain_day,greedy
14_scenario_7|road1|dto|rain_day|greedy,9.123,9.224,9.483,9.733,10.034,10.123,14_scenario_7,road1,dto,rain_day,greedy
14_scenario_8|road1|dto|rain_day|greedy,10.215,10.301,10.387,10.475,9.351,8.193,14_scenario_8,road1,dto,rain_day,greedy
14_scenario_9|road1|dto|rain_day|greedy,7.867,8.389,8.553,8.268,6.871,5.934,14_scenario_9,road1,dto,rain_day,greedy
15_scenario_0|road1|dto|rain_day|greedy,0.259,1.537,3.901,5.408,6.727,7.744,15_scenario_0,road1,dto,rain_day,greedy
15_scenario_1|road1|dto|rain_day|greedy,7.559,8.354,8.725,8.83,8.993,9.103,15_scenario_1,road1,dto,rain_day,greedy
15_scenario_10|road1|dto|rain_day|greedy,0.001,0.0,0.0,1.416,3.284,4.378,15_scenario_10,road1,dto,rain_day,greedy
15_scenario_11|road1|dto|rain_day|greedy,3.601,4.688,6.057,7.49,8.385,8.526,15_scenario_11,road1,dto,rain_day,greedy
15_scenario_12|road1|dto|rain_day|greedy,7.726,7.124,6.935,6.668,6.465,5.451,15_scenario_12,road1,dto,rain_day,greedy
15_scenario_13|road1|dto|rain_day|greedy,4.945,4.395,4.6,3.81,3.628,3.647,15_scenario_13,road1,dto,rain_day,greedy
15_scenario_14|road1|dto|rain_day|greedy,3.02,2.463,2.583,2.431,2.292,2.567,15_scenario_14,road1,dto,rain_day,greedy
15_scenario_15|road1|dto|rain_day|greedy,1.99,1.756,1.517,1.701,1.506,1.3,15_scenario_15,road1,dto,rain_day,greedy
15_scenario_16|road1|dto|rain_day|greedy,2.106,1.512,1.161,0.918,1.402,1.113,15_scenario_16,road1,dto,rain_day,greedy
15_scenario_2|road1|dto|rain_day|greedy,9.205,9.438,6.867,4.9,3.166,2.584,15_scenario_2,road1,dto,rain_day,greedy
15_scenario_3|road1|dto|rain_day|greedy,3.732,5.296,6.42,6.198,6.318,6.441,15_scenario_3,road1,dto,rain_day,greedy
15_scenario_4|road1|dto|rain_day|greedy,6.161,6.652,6.012,6.147,6.408,4.64,15_scenario_4,road1,dto,rain_day,greedy
15_scenario_5|road1|dto|rain_day|greedy,6.727,7.171,8.459,9.026,9.124,9.234,15_scenario_5,road1,dto,rain_day,greedy
15_scenario_6|road1|dto|rain_day|greedy,9.496,9.735,7.105,5.204,3.774,5.66,15_scenario_6,road1,dto,rain_day,greedy
15_scenario_7|road1|dto|rain_day|greedy,5.164,5.348,6.52,7.116,6.474,5.592,15_scenario_7,road1,dto,rain_day,greedy
15_scenario_8|road1|dto|rain_day|greedy,4.507,6.34,6.045,5.779,5.941,7.772,15_scenario_8,road1,dto,rain_day,greedy
15_scenario_9|road1|dto|rain_day|greedy,5.797,4.705,3.295,2.294,1.327,0.895,15_scenario_9,road1,dto,rain_day,greedy
16_scenario_0|road1|dto|rain_day|greedy,0.25,0.105,1.954,4.121,6.021,7.663,16_scenario_0,road1,dto,rain_day,greedy
16_scenario_1|road1|dto|rain_day|greedy,8.055,8.212,8.585,8.691,8.795,8.923,16_scenario_1,road1,dto,rain_day,greedy
16_scenario_10|road1|dto|rain_day|greedy,7.2,7.35,7.48,7.237,6.947,6.669,16_scenario_10,road1,dto,rain_day,greedy
16_scenario_11|road1|dto|rain_day|greedy,6.362,5.36,5.447,4.79,4.255,4.179,16_scenario_11,road1,dto,rain_day,greedy
16_scenario_12|road1|dto|rain_day|greedy,3.44,2.835,2.618,2.434,2.578,2.375,16_scenario_12,road1,dto,rain_day,greedy
16_scenario_13|road1|dto|rain_day|greedy,2.512,2.169,1.884,1.645,1.421,1.651,16_scenario_13,road1,dto,rain_day,greedy
16_scenario_14|road1|dto|rain_day|greedy,2.26,1.558,1.205,0.975,1.175,0.98,16_scenario_14,road1,dto,rain_day,greedy
16_scenario_15|road1|dto|rain_day|greedy,1.429,1.136,0.847,0.001,0.045,1.802,16_scenario_15,road1,dto,rain_day,greedy
16_scenario_2|road1|dto|rain_day|greedy,9.074,9.179,9.406,9.668,9.972,10.064,16_scenario_2,road1,dto,rain_day,greedy
16_scenario_3|road1|dto|rain_day|greedy,9.057,8.098,7.287,6.392,5.952,5.712,16_scenario_3,road1,dto,rain_day,greedy
16_scenario_4|road1|dto|rain_day|greedy,5.973,4.902,6.227,7.7,8.592,8.738,16_scenario_4,road1,dto,rain_day,greedy
16_scenario_5|road1|dto|rain_day|greedy,8.839,8.945,6.504,4.269,2.383,2.115,16_scenario_5,road1,dto,rain_day,greedy
16_scenario_6|road1|dto|rain_day|greedy,4.007,5.654,5.943,6.081,5.462,5.445,16_scenario_6,road1,dto,rain_day,greedy
16_scenario_7|road1|dto|rain_day|greedy,5.374,5.517,5.684,5.971,6.239,6.541,16_scenario_7,road1,dto,rain_day,greedy
16_scenario_8|road1|dto|rain_day|greedy,6.783,7.35,7.517,7.283,7.401,7.517,16_scenario_8,road1,dto,rain_day,greedy
16_scenario_9|road1|dto|rain_day|greedy,7.631,7.024,6.733,6.843,6.961,7.081,16_scenario_9,road1,dto,rain_day,greedy
17_scenario_0|road1|dto|rain_day|greedy,0.323,1.795,4.223,5.964,7.885,8.398,17_scenario_0,road1,dto,rain_day,greedy
17_scenario_1|road1|dto|rain_day|greedy,8.671,8.88,8.985,9.118,9.223,9.481,17_scenario_1,road1,dto,rain_day,greedy
17_scenario_2|road1|dto|rain_day|greedy,9.724,10.014,10.103,10.192,10.278,8.373,17_scenario_2,road1,dto,rain_day,greedy
17_scenario_3|road1|dto|rain_day|greedy,7.497,7.031,6.356,5.408,6.757,4.408,17_scenario_3,road1,dto,rain_day,greedy
17_scenario_4|road1|dto|rain_day|greedy,2.806,3.803,5.245,7.132,7.301,8.311,17_scenario_4,road1,dto,rain_day,greedy
17_scenario_5|road1|dto|rain_day|greedy,9.051,9.153,9.299,9.555,9.806,10.044,17_scenario_5,road1,dto,rain_day,greedy
17_scenario_6|road1|dto|rain_day|greedy,10.136,10.226,7.64,6.724,7.46,7.713,17_scenario_6,road1,dto,rain_day,greedy
17_scenario_7_pedestrian|road1|dto|rain_day|greedy,6.304,5.137,3.637,2.589,3.443,4.764,17_scenario_7_pedestrian,road1,dto,rain_day,greedy
18_scenario_0|road1|dto|rain_day|greedy,0.25,1.636,3.852,5.382,6.493,7.578,18_scenario_0,road1,dto,rain_day,greedy
18_scenario_1|road1|dto|rain_day|greedy,8.55,8.948,6.577,4.653,2.746,0.001,18_scenario_1,road1,dto,rain_day,greedy
18_scenario_2|road1|dto|rain_day|greedy,1.788,3.67,5.062,6.537,7.874,8.204,18_scenario_2,road1,dto,rain_day,greedy
18_scenario_3|road1|dto|rain_day|greedy,8.378,7.392,7.496,7.439,7.172,6.9,18_scenario_3,road1,dto,rain_day,greedy
18_scenario_4_pedestrian|road1|dto|rain_day|greedy,6.479,5.309,2.991,1.945,3.981,5.591,18_scenario_4_pedestrian,road1,dto,rain_day,greedy
19_scenario_0|road1|dto|rain_day|greedy,0.252,0.02,1.841,4.268,6.137,7.147,19_scenario_0,road1,dto,rain_day,greedy
19_scenario_1|road1|dto|rain_day|greedy,7.942,8.643,8.75,8.862,9.01,9.117,19_scenario_1,road1,dto,rain_day,greedy
19_scenario_10|road1|dto|rain_day|greedy,5.737,5.29,5.33,5.108,4.912,4.333,19_scenario_10,road1,dto,rain_day,greedy
19_scenario_11|road1|dto|rain_day|greedy,3.545,2.928,3.228,3.213,2.779,2.538,19_scenario_11,road1,dto,rain_day,greedy
19_scenario_12|road1|dto|rain_day|greedy,2.743,2.158,1.931,2.093,2.315,1.962,19_scenario_12,road1,dto,rain_day,greedy
19_scenario_13|road1|dto|rain_day|greedy,1.796,1.469,1.232,1.123,1.492,1.236,19_scenario_13,road1,dto,rain_day,greedy
19_scenario_14|road1|dto|rain_day|greedy,0.952,0.009,1.175,1.083,0.776,0.006,19_scenario_14,road1,dto,rain_day,greedy
19_scenario_2|road1|dto|rain_day|greedy,8.802,7.503,7.602,7.824,6.417,5.667,19_scenario_2,road1,dto,rain_day,greedy
19_scenario_3|road1|dto|rain_day|greedy,5.41,4.551,4.757,5.175,5.32,5.508,19_scenario_3,road1,dto,rain_day,greedy
19_scenario_4|road1|dto|rain_day|greedy,5.772,6.648,6.786,5.694,5.821,4.143,19_scenario_4,road1,dto,rain_day,greedy
19_scenario_5|road1|dto|rain_day|greedy,5.405,6.786,8.407,8.792,8.911,9.012,19_scenario_5,road1,dto,rain_day,greedy
19_scenario_6|road1|dto|rain_day|greedy,9.115,9.216,7.445,8.403,8.762,8.867,19_scenario_6,road1,dto,rain_day,greedy
19_scenario_7|road1|dto|rain_day|greedy,8.97,9.075,9.176,9.386,9.632,9.895,19_scenario_7,road1,dto,rain_day,greedy
19_scenario_8|road1|dto|rain_day|greedy,9.987,10.08,10.166,9.516,8.392,8.455,19_scenario_8,road1,dto,rain_day,greedy
19_scenario_9|road1|dto|rain_day|greedy,8.609,8.719,8.382,8.088,7.371,5.5,19_scenario_9,road1,dto,rain_day,greedy
1_scenario_0|road1|dto|rain_day|greedy,0.25,1.45,3.781,5.597,6.627,8.06,1_scenario_0,road1,dto,rain_day,greedy
1_scenario_1|road1|dto|rain_day|greedy,8.643,8.804,7.909,8.491,8.597,8.7,1_scenario_1,road1,dto,rain_day,greedy
1_scenario_10|road1|dto|rain_day|greedy,5.139,4.231,3.979,3.548,3.177,3.043,1_scenario_10,road1,dto,rain_day,greedy
1_scenario_11|road1|dto|rain_day|greedy,2.711,2.881,3.401,2.484,1.964,1.722,1_scenario_11,road1,dto,rain_day,greedy
1_scenario_12|road1|dto|rain_day|greedy,1.875,1.674,1.434,1.28,1.747,1.575,1_scenario_12,road1,dto,rain_day,greedy
1_scenario_13|road1|dto|rain_day|greedy,1.436,1.163,0.877,0.001,1.145,1.04,1_scenario_13,road1,dto,rain_day,greedy
1_scenario_2|road1|dto|rain_day|greedy,8.857,7.626,7.724,7.842,7.99,8.109,1_scenario_2,road1,dto,rain_day,greedy
1_scenario_3|road1|dto|rain_day|greedy,8.052,7.384,6.273,6.141,6.206,6.006,1_scenario_3,road1,dto,rain_day,greedy
1_scenario_4|road1|dto|rain_day|greedy,5.856,6.939,6.072,5.457,7.741,8.117,1_scenario_4,road1,dto,rain_day,greedy
1_scenario_5|road1|dto|rain_day|greedy,8.244,8.362,9.004,9.173,9.371,9.623,1_scenario_5,road1,dto,rain_day,greedy
1_scenario_6|road1|dto|rain_day|greedy,9.85,9.946,10.034,10.123,10.209,10.295,1_scenario_6,road1,dto,rain_day,greedy
1_scenario_7|road1|dto|rain_day|greedy,10.381,10.467,10.553,10.64,9.956,8.868,1_scenario_7,road1,dto,rain_day,greedy
1_scenario_8|road1|dto|rain_day|greedy,8.976,9.083,9.2,7.183,6.045,5.066,1_scenario_8,road1,dto,rain_day,greedy
1_scenario_9|road1|dto|rain_day|greedy,5.084,4.524,6.051,6.189,5.478,5.545,1_scenario_9,road1,dto,rain_day,greedy
2_scenario_0|road1|dto|rain_day|greedy,0.25,1.416,3.742,5.739,6.596,7.836,2_scenario_0,road1,dto,rain_day,greedy
2_scenario_1|road1|dto|rain_day|greedy,8.134,8.471,8.844,8.945,9.082,9.147,2_scenario_1,road1,dto,rain_day,greedy
2_scenario_10|road1|dto|rain_day|greedy,5.424,4.48,4.215,3.347,3.783,3.492,2_scenario_10,road1,dto,rain_day,greedy
2_scenario_11|road1|dto|rain_day|greedy,3.191,2.324,2.298,1.907,1.704,1.862,2_scenario_11,road1,dto,rain_day,greedy
2_scenario_12|road1|dto|rain_day|greedy,1.638,1.329,1.082,1.235,1.375,1.178,2_scenario_12,road1,dto,rain_day,greedy
2_scenario_13|road1|dto|rain_day|greedy,0.939,0.002,1.067,0.938,0.001,0.839,2_scenario_13,road1,dto,rain_day,greedy
2_scenario_2|road1|dto|rain_day|greedy,9.222,8.721,7.705,7.818,7.934,7.664,2_scenario_2,road1,dto,rain_day,greedy
2_scenario_3|road1|dto|rain_day|greedy,7.365,6.913,6.248,5.973,6.006,5.941,2_scenario_3,road1,dto,rain_day,greedy
2_scenario_4|road1|dto|rain_day|greedy,6.136,7.287,5.094,6.063,7.705,8.146,2_scenario_4,road1,dto,rain_day,greedy
2_scenario_5|road1|dto|rain_day|greedy,8.271,8.384,8.93,9.035,9.134,9.253,2_scenario_5,road1,dto,rain_day,greedy
2_scenario_6|road1|dto|rain_day|greedy,9.5,9.755,9.986,10.075,10.161,10.249,2_scenario_6,road1,dto,rain_day,greedy
2_scenario_7|road1|dto|rain_day|greedy,10.338,10.424,10.508,10.59,10.001,9.072,2_scenario_7,road1,dto,rain_day,greedy
2_scenario_8|road1|dto|rain_day|greedy,8.076,8.232,9.122,6.635,7.609,7.88,2_scenario_8,road1,dto,rain_day,greedy
2_scenario_9|road1|dto|rain_day|greedy,8.308,6.499,4.689,6.194,5.948,5.682,2_scenario_9,road1,dto,rain_day,greedy
3_scenario_0|road1|dto|rain_day|greedy,0.25,0.02,1.901,3.909,6.009,6.209,3_scenario_0,road1,dto,rain_day,greedy
3_scenario_1|road1|dto|rain_day|greedy,6.478,7.964,8.19,8.524,8.628,8.733,3_scenario_1,road1,dto,rain_day,greedy
3_scenario_10|road1|dto|rain_day|greedy,5.639,4.999,4.215,3.976,3.459,3.592,3_scenario_10,road1,dto,rain_day,greedy
3_scenario_11|road1|dto|rain_day|greedy,3.158,2.445,2.705,2.249,2.54,2.217,3_scenario_11,road1,dto,rain_day,greedy
3_scenario_12|road1|dto|rain_day|greedy,2.633,1.906,1.577,1.354,1.492,1.284,3_scenario_12,road1,dto,rain_day,greedy
3_scenario_13|road1|dto|rain_day|greedy,1.477,1.235,0.971,0.272,1.467,1.187,3_scenario_13,road1,dto,rain_day,greedy
3_scenario_2|road1|dto|rain_day|greedy,8.845,7.757,7.888,8.004,8.255,8.428,3_scenario_2,road1,dto,rain_day,greedy
3_scenario_3|road1|dto|rain_day|greedy,8.537,7.666,7.176,6.903,6.618,6.4,3_scenario_3,road1,dto,rain_day,greedy
3_scenario_4|road1|dto|rain_day|greedy,6.116,7.955,5.598,6.157,7.201,8.345,3_scenario_4,road1,dto,rain_day,greedy
3_scenario_5|road1|dto|rain_day|greedy,8.733,8.84,8.954,9.065,9.169,9.38,3_scenario_5,road1,dto,rain_day,greedy
3_scenario_6|road1|dto|rain_day|greedy,9.631,9.877,9.967,10.059,10.148,10.239,3_scenario_6,road1,dto,rain_day,greedy
3_scenario_7|road1|dto|rain_day|greedy,10.329,8.216,7.929,8.059,8.39,8.749,3_scenario_7,road1,dto,rain_day,greedy
3_scenario_8|road1|dto|rain_day|greedy,8.852,8.968,9.098,6.609,8.118,8.345,3_scenario_8,road1,dto,rain_day,greedy
3_scenario_9|road1|dto|rain_day|greedy,8.014,7.053,6.082,5.789,5.718,5.924,3_scenario_9,road1,dto,rain_day,greedy
4_scenario_0|road1|dto|rain_day|greedy,0.25,1.47,3.717,5.489,7.024,8.323,4_scenario_0,road1,dto,rain_day,greedy
4_scenario_1|road1|dto|rain_day|greedy,8.676,8.844,8.221,8.583,8.697,8.868,4_scenario_1,road1,dto,rain_day,greedy
4_scenario_10|road1|dto|rain_day|greedy,3.197,4.214,5.888,6.014,6.276,6.407,4_scenario_10,road1,dto,rain_day,greedy
